"","V1","V2","V3","V4","V5","V6","V6_clean1","V6_clean2","V6_clean3"
"11",0,1467812416,"Mon Apr 06 22:20:16 PDT 2009","NO_QUERY","erinx3leannexo","spring break in plain city... it's snowing ","spring break in plain city it's snowing ","spring break in plain city it s snowing "," spring break plain city s snowing"
"12",0,1467812579,"Mon Apr 06 22:20:17 PDT 2009","NO_QUERY","pardonlauren","I just re-pierced my ears ","I just repierced my ears ","I just repierced my ears "," just repierced ears"
"13",0,1467812723,"Mon Apr 06 22:20:19 PDT 2009","NO_QUERY","TLeC","@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .","caregiving I couldn't bear to watch it  And I thought the UA loss was embarrassing     ","caregiving I couldn t bear to watch it  And I thought the UA loss was embarrassing     "," caregiving couldn bear watch thought UA loss was embarrassing"
"14",0,1467812771,"Mon Apr 06 22:20:19 PDT 2009","NO_QUERY","robrobbierobert","@octolinz16 It it counts, idk why I did either. you never talk to me anymore ","octolinz16 It it counts idk why I did either you never talk to me anymore ","octolinz16 It it counts idk why I did either you never talk to me anymore "," octolinz16 counts idk did talk"
"15",0,1467812784,"Mon Apr 06 22:20:20 PDT 2009","NO_QUERY","bayofwolves","@smarrison i would've been the first, but i didn't have a gun.    not really though, zac snyder's just a doucheclown.","smarrison i would've been the first but i didn't have a gun    not really though zac snyder's just a doucheclown","smarrison i would ve been the first but i didn t have a gun    not really though zac snyder s just a doucheclown"," smarrison ve been didn have gun zac snyder s just doucheclown"
"16",0,1467812799,"Mon Apr 06 22:20:20 PDT 2009","NO_QUERY","HairByJess","@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!","iamjazzyfizzle I wish I got to watch it with you I miss you and iamlilnicki  how was the premiere","iamjazzyfizzle I wish I got to watch it with you I miss you and iamlilnicki  how was the premiere"," iamjazzyfizzle wish got watch miss iamlilnicki was premiere"
"17",0,1467812964,"Mon Apr 06 22:20:22 PDT 2009","NO_QUERY","lovesongwriter","Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?","Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now","Hollis  death scene will hurt me severely to watch on film  wry is directors cut not out now"," Hollis death scene will hurt watch film wry is directors cut"
"18",0,1467813137,"Mon Apr 06 22:20:25 PDT 2009","NO_QUERY","armotley","about to file taxes ","about to file taxes ","about to file taxes "," file taxes"
"19",0,1467813579,"Mon Apr 06 22:20:31 PDT 2009","NO_QUERY","starkissed","@LettyA ahh ive always wanted to see rent  love the soundtrack!!","LettyA ahh ive always wanted to see rent  love the soundtrack","LettyA ahh ive always wanted to see rent  love the soundtrack"," LettyA ive wanted see rent love soundtrack"
"20",0,1467813782,"Mon Apr 06 22:20:34 PDT 2009","NO_QUERY","gi_gi_bee","@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks? ","FakerPattyPattz Oh dear Were you drinking out of the forgotten table drinks ","FakerPattyPattz Oh dear Were you drinking out of the forgotten table drinks "," FakerPattyPattz dear Were drinking forgotten table drinks"
"21",0,1467813985,"Mon Apr 06 22:20:37 PDT 2009","NO_QUERY","quanvu","@alydesigns i was out most of the day so didn't get much done ","alydesigns i was out most of the day so didn't get much done ","alydesigns i was out most of the day so didn t get much done "," alydesigns was day didn get done"
"22",0,1467813992,"Mon Apr 06 22:20:38 PDT 2009","NO_QUERY","swinspeedx","one of my friend called me, and asked to meet with her at Mid Valley today...but i've no time *sigh* ","one of my friend called me and asked to meet with her at Mid Valley todaybut i've no time sigh ","one of my friend called me and asked to meet with her at Mid Valley todaybut i ve no time sigh "," friend called asked meet Mid Valley todaybut ve no time sigh"
"23",0,1467814119,"Mon Apr 06 22:20:40 PDT 2009","NO_QUERY","cooliodoc","@angry_barista I baked you a cake but I ated it ","angrybarista I baked you a cake but I ated it ","angrybarista I baked you a cake but I ated it "," angrybarista baked cake ated"
"24",0,1467814180,"Mon Apr 06 22:20:40 PDT 2009","NO_QUERY","viJILLante","this week is not going as i had hoped ","this week is not going as i had hoped ","this week is not going as i had hoped "," week is going had hoped"
"25",0,1467814192,"Mon Apr 06 22:20:41 PDT 2009","NO_QUERY","Ljelli3166","blagh class at 8 tomorrow ","blagh class at 8 tomorrow ","blagh class at 8 tomorrow "," blagh class"
"26",0,1467814438,"Mon Apr 06 22:20:44 PDT 2009","NO_QUERY","ChicagoCubbie","I hate when I have to call and wake people up ","I hate when I have to call and wake people up ","I hate when I have to call and wake people up "," hate have call wake people"
"27",0,1467814783,"Mon Apr 06 22:20:50 PDT 2009","NO_QUERY","KatieAngell","Just going to cry myself to sleep after watching Marley and Me.  ","Just going to cry myself to sleep after watching Marley and Me  ","Just going to cry myself to sleep after watching Marley and Me  "," going cry sleep watching Marley"
"28",0,1467814883,"Mon Apr 06 22:20:52 PDT 2009","NO_QUERY","gagoo","im sad now  Miss.Lilly","im sad now  MissLilly","im sad now  MissLilly"," im sad"
"29",0,1467815199,"Mon Apr 06 22:20:56 PDT 2009","NO_QUERY","abel209","ooooh.... LOL  that leslie.... and ok I won't do it again so leslie won't  get mad again ","ooooh LOL  that leslie and ok I won't do it again so leslie won't  get mad again ","ooooh LOL  that leslie and ok I won t do it again so leslie won t  get mad again "," LOL leslie ok won do leslie won get mad"
"30",0,1467815753,"Mon Apr 06 22:21:04 PDT 2009","NO_QUERY","BaptisteTheFool","Meh... Almost Lover is the exception... this track gets me depressed every time. ","Meh Almost Lover is the exception this track gets me depressed every time ","Meh Almost Lover is the exception this track gets me depressed every time "," Meh Lover is exception track gets depressed time"
"31",0,1467815923,"Mon Apr 06 22:21:07 PDT 2009","NO_QUERY","fatkat309","some1 hacked my account on aim  now i have to make a new one","some1 hacked my account on aim  now i have to make a new one","some1 hacked my account on aim  now i have to make a new one"," some1 hacked account aim have make new"
"32",0,1467815924,"Mon Apr 06 22:21:07 PDT 2009","NO_QUERY","EmCDL","@alielayus I want to go to promote GEAR AND GROOVE but unfornately no ride there  I may b going to the one in Anaheim in May though","alielayus I want to go to promote GEAR AND GROOVE but unfornately no ride there  I may b going to the one in Anaheim in May though","alielayus I want to go to promote GEAR AND GROOVE but unfornately no ride there  I may b going to the one in Anaheim in May though"," alielayus want go promote GEAR GROOVE no ride going Anaheim May"
"33",0,1467815988,"Mon Apr 06 22:21:09 PDT 2009","NO_QUERY","merisssa","thought sleeping in was an option tomorrow but realizing that it now is not. evaluations in the morning and work in the afternoon! ","thought sleeping in was an option tomorrow but realizing that it now is not evaluations in the morning and work in the afternoon ","thought sleeping in was an option tomorrow but realizing that it now is not evaluations in the morning and work in the afternoon "," thought sleeping was option realizing is evaluations morning work afternoon"
"34",0,1467816149,"Mon Apr 06 22:21:11 PDT 2009","NO_QUERY","Pbearfox","@julieebaby awe i love you too!!!! 1 am here  i miss you","julieebaby awe i love you too 1 am here  i miss you","julieebaby awe i love you too 1 am here  i miss you"," julieebaby awe love am miss"
"35",0,1467816665,"Mon Apr 06 22:21:21 PDT 2009","NO_QUERY","jsoo","@HumpNinja I cry my asian eyes to sleep at night ","HumpNinja I cry my asian eyes to sleep at night ","HumpNinja I cry my asian eyes to sleep at night "," HumpNinja cry asian eyes sleep night"
"36",0,1467816749,"Mon Apr 06 22:21:20 PDT 2009","NO_QUERY","scarletletterm","ok I'm sick and spent an hour sitting in the shower cause I was too sick to stand and held back the puke like a champ. BED now ","ok I'm sick and spent an hour sitting in the shower cause I was too sick to stand and held back the puke like a champ BED now ","ok I m sick and spent an hour sitting in the shower cause I was too sick to stand and held back the puke like a champ BED now "," ok m sick spent hour sitting shower cause was sick stand held back puke like champ BED"
"37",0,1467817225,"Mon Apr 06 22:21:27 PDT 2009","NO_QUERY","crosland_12","@cocomix04 ill tell ya the story later  not a good day and ill be workin for like three more hours...","cocomix04 ill tell ya the story later  not a good day and ill be workin for like three more hours","cocomix04 ill tell ya the story later  not a good day and ill be workin for like three more hours"," ill tell story good day ill be workin like hours"
"38",0,1467817374,"Mon Apr 06 22:21:30 PDT 2009","NO_QUERY","ajaxpro","@MissXu sorry! bed time came here (GMT+1)   http://is.gd/fNge","MissXu sorry bed time came here GMT1   http//isgd/fNge","MissXu sorry bed time came here GMT1   http  isgd fNge"," MissXu sorry bed time came http isgd fNge"
"39",0,1467817502,"Mon Apr 06 22:21:32 PDT 2009","NO_QUERY","Tmttq86","@fleurylis I don't either. Its depressing. I don't think I even want to know about the kids in suitcases. ","fleurylis I don't either Its depressing I don't think I even want to know about the kids in suitcases ","fleurylis I don t either Its depressing I don t think I even want to know about the kids in suitcases "," fleurylis don depressing don think even want know kids suitcases"
"40",0,1467818007,"Mon Apr 06 22:21:39 PDT 2009","NO_QUERY","Anthony_Nguyen","Bed. Class 8-12. Work 12-3. Gym 3-5 or 6. Then class 6-10. Another day that's gonna fly by. I miss my girlfriend ","Bed Class 812 Work 123 Gym 35 or 6 Then class 610 Another day that's gonna fly by I miss my girlfriend ","Bed Class 812 Work 123 Gym 35 or 6 Then class 610 Another day that s gonna fly by I miss my girlfriend "," Bed Class Work Gym class day s gonna fly miss girlfriend"
"41",0,1467818020,"Mon Apr 06 22:21:39 PDT 2009","NO_QUERY","itsanimesh","really don't feel like getting up today... but got to study to for tomorrows practical exam... ","really don't feel like getting up today but got to study to for tomorrows practical exam ","really don t feel like getting up today but got to study to for tomorrows practical exam "," don feel like getting got study tomorrows practical exam"
"42",0,1467818481,"Mon Apr 06 22:21:46 PDT 2009","NO_QUERY","lionslamb","He's the reason for the teardrops on my guitar the only one who has enough of me to break my heart ","He's the reason for the teardrops on my guitar the only one who has enough of me to break my heart ","He s the reason for the teardrops on my guitar the only one who has enough of me to break my heart "," s reason teardrops guitar only has break heart"
"43",0,1467818603,"Mon Apr 06 22:21:49 PDT 2009","NO_QUERY","kennypham","Sad, sad, sad. I don't know why but I hate this feeling  I wanna sleep and I still can't!","Sad sad sad I don't know why but I hate this feeling  I wanna sleep and I still can't","Sad sad sad I don t know why but I hate this feeling  I wanna sleep and I still can t"," Sad sad sad don know hate feeling wanna sleep still"
"44",0,1467818900,"Mon Apr 06 22:21:53 PDT 2009","NO_QUERY","DdubsShellBell","@JonathanRKnight Awww I soo wish I was there to see you finally comfortable! Im sad that I missed it ","JonathanRKnight Awww I soo wish I was there to see you finally comfortable Im sad that I missed it ","JonathanRKnight Awww I soo wish I was there to see you finally comfortable Im sad that I missed it "," JonathanRKnight Awww soo wish was see comfortable Im sad missed"
"45",0,1467819022,"Mon Apr 06 22:21:56 PDT 2009","NO_QUERY","hpfangirl94","Falling asleep. Just heard about that Tracy girl's body being found. How sad  My heart breaks for that family.","Falling asleep Just heard about that Tracy girl's body being found How sad  My heart breaks for that family","Falling asleep Just heard about that Tracy girl s body being found How sad  My heart breaks for that family"," Falling asleep heard Tracy girl s body being found sad heart breaks family"
"46",0,1467819650,"Mon Apr 06 22:22:05 PDT 2009","NO_QUERY","antzpantz","@Viennah Yay! I'm happy for you with your job! But that also means less time for me and you... ","Viennah Yay I'm happy for you with your job But that also means less time for me and you ","Viennah Yay I m happy for you with your job But that also means less time for me and you "," Viennah Yay m happy job means time"
"47",0,1467819712,"Mon Apr 06 22:22:06 PDT 2009","NO_QUERY","labrt2004","Just checked my user timeline on my blackberry, it looks like the twanking is still happening  Are ppl still having probs w/ BGs and UIDs?","Just checked my user timeline on my blackberry it looks like the twanking is still happening  Are ppl still having probs w/ BGs and UIDs","Just checked my user timeline on my blackberry it looks like the twanking is still happening  Are ppl still having probs w  BGs and UIDs"," checked user timeline blackberry looks like twanking is still happening Are ppl still having probs w BGs UIDs"
"48",0,1467819812,"Mon Apr 06 22:22:07 PDT 2009","NO_QUERY","IrisJumbe","Oh man...was ironing @jeancjumbe's fave top to wear to a meeting. Burnt it ","Oh manwas ironing jeancjumbe's fave top to wear to a meeting Burnt it ","Oh manwas ironing jeancjumbe s fave top to wear to a meeting Burnt it "," manwas ironing jeancjumbe s fave top wear meeting Burnt"
"49",0,1467820206,"Mon Apr 06 22:22:13 PDT 2009","NO_QUERY","peacoats","is strangely sad about LiLo and SamRo breaking up. ","is strangely sad about LiLo and SamRo breaking up ","is strangely sad about LiLo and SamRo breaking up "," is sad LiLo SamRo breaking"
"50",0,1467820835,"Mon Apr 06 22:22:25 PDT 2009","NO_QUERY","cyantist","@tea oh! i'm so sorry  i didn't think about that before retweeting.","tea oh i'm so sorry  i didn't think about that before retweeting","tea oh i m so sorry  i didn t think about that before retweeting"," tea m sorry didn think retweeting"
"51",0,1467820863,"Mon Apr 06 22:22:23 PDT 2009","NO_QUERY","tautao","Broadband plan 'a massive broken promise' http://tinyurl.com/dcuc33 via www.diigo.com/~tautao Still waiting for broadband we are ","Broadband plan 'a massive broken promise' http//tinyurlcom/dcuc33 via wwwdiigocom/tautao Still waiting for broadband we are ","Broadband plan  a massive broken promise  http  tinyurlcom dcuc33 via wwwdiigocom tautao Still waiting for broadband we are "," Broadband plan massive broken promise http tinyurlcom dcuc33 wwwdiigocom tautao waiting broadband are"
"52",0,1467820906,"Mon Apr 06 22:22:24 PDT 2009","NO_QUERY","voyage2k","@localtweeps Wow, tons of replies from you, may have to unfollow so I can see my friends' tweets, you're scrolling the feed a lot. ","localtweeps Wow tons of replies from you may have to unfollow so I can see my friends' tweets you're scrolling the feed a lot ","localtweeps Wow tons of replies from you may have to unfollow so I can see my friends  tweets you re scrolling the feed a lot "," localtweeps tons replies have unfollow see friends tweets scrolling feed lot"
"53",0,1467821085,"Mon Apr 06 22:22:26 PDT 2009","NO_QUERY","crzy_cdn_bulas","our duck and chicken are taking wayyy too long to hatch ","our duck and chicken are taking wayyy too long to hatch ","our duck and chicken are taking wayyy too long to hatch "," duck chicken are taking wayyy long hatch"
"54",0,1467821338,"Mon Apr 06 22:22:30 PDT 2009","NO_QUERY","justnetgirl","Put vacation photos online a few yrs ago. PC crashed, and now I forget the name of the site. ","Put vacation photos online a few yrs ago PC crashed and now I forget the name of the site ","Put vacation photos online a few yrs ago PC crashed and now I forget the name of the site "," Put vacation photos online yrs PC crashed forget name site"
"55",0,1467821455,"Mon Apr 06 22:22:32 PDT 2009","NO_QUERY","CiaraRenee","I need a hug ","I need a hug ","I need a hug "," need hug"
"56",0,1467821715,"Mon Apr 06 22:22:37 PDT 2009","NO_QUERY","deelau","@andywana Not sure what they are, only that they are PoS! As much as I want to, I dont think can trade away company assets sorry andy! ","andywana Not sure what they are only that they are PoS As much as I want to I dont think can trade away company assets sorry andy ","andywana Not sure what they are only that they are PoS As much as I want to I dont think can trade away company assets sorry andy "," andywana sure are only are PoS want dont think trade away company assets sorry andy"
"57",0,1467822384,"Mon Apr 06 22:22:47 PDT 2009","NO_QUERY","Lindsey0920","@oanhLove I hate when that happens... ","oanhLove I hate when that happens ","oanhLove I hate when that happens "," oanhLove hate happens"
"58",0,1467822389,"Mon Apr 06 22:22:47 PDT 2009","NO_QUERY","HybridMink","I have a sad feeling that Dallas is not going to show up  I gotta say though, you'd think more shows would use music from the game. mmm","I have a sad feeling that Dallas is not going to show up  I gotta say though you'd think more shows would use music from the game mmm","I have a sad feeling that Dallas is not going to show up  I gotta say though you d think more shows would use music from the game mmm"," have sad feeling Dallas is going show gotta say think shows use music game"
"59",0,1467822519,"Mon Apr 06 22:22:49 PDT 2009","NO_QUERY","gzacher","Ugh....92 degrees tomorrow ","Ugh92 degrees tomorrow ","Ugh92 degrees tomorrow "," degrees"
"60",0,1467822522,"Mon Apr 06 22:22:49 PDT 2009","NO_QUERY","Jenn_L","Where did u move to?  I thought u were already in sd. ?? Hmmm. Random u found me. Glad to hear yer doing well.","Where did u move to  I thought u were already in sd  Hmmm Random u found me Glad to hear yer doing well","Where did u move to  I thought u were already in sd  Hmmm Random u found me Glad to hear yer doing well"," did move thought were sd Hmmm Random found Glad hear doing well"
"61",0,1467822687,"Mon Apr 06 22:22:52 PDT 2009","NO_QUERY","xVivaLaJuicyx","@BatManYNG I miss my ps3, it's out of commission  Wutcha playing? Have you copped 'Blood On The Sand'?","BatManYNG I miss my ps3 it's out of commission  Wutcha playing Have you copped 'Blood On The Sand'","BatManYNG I miss my ps3 it s out of commission  Wutcha playing Have you copped  Blood On The Sand "," BatManYNG miss ps3 s commission Wutcha playing Have copped Blood Sand"
"62",0,1467822918,"Mon Apr 06 22:22:55 PDT 2009","NO_QUERY","krbleyle","just leaving the parking lot of work! ","just leaving the parking lot of work ","just leaving the parking lot of work "," just leaving parking lot work"
"63",0,1467823437,"Mon Apr 06 22:23:03 PDT 2009","NO_QUERY","xpika","The Life is cool. But not for Me. ","The Life is cool But not for Me ","The Life is cool But not for Me "," Life is cool"
"64",0,1467823770,"Mon Apr 06 22:23:08 PDT 2009","NO_QUERY","Henkuyinepu","Sadly though, I've never gotten to experience the post coitus cigarette before, and now I never will. ","Sadly though I've never gotten to experience the post coitus cigarette before and now I never will ","Sadly though I ve never gotten to experience the post coitus cigarette before and now I never will "," ve gotten experience post coitus cigarette will"
"65",0,1467823851,"Mon Apr 06 22:23:09 PDT 2009","NO_QUERY","ericg622","I had such a nice day. Too bad the rain comes in tomorrow at 5am ","I had such a nice day Too bad the rain comes in tomorrow at 5am ","I had such a nice day Too bad the rain comes in tomorrow at 5am "," had nice day bad rain comes"
"66",0,1467824199,"Mon Apr 06 22:23:15 PDT 2009","NO_QUERY","adri_mane","@Starrbby too bad I won't be around I lost my job and can't even pay my phone bill lmao aw shucks ","Starrbby too bad I won't be around I lost my job and can't even pay my phone bill lmao aw shucks ","Starrbby too bad I won t be around I lost my job and can t even pay my phone bill lmao aw shucks "," Starrbby bad won be lost job even pay phone bill lmao"
"67",0,1467824664,"Mon Apr 06 22:23:23 PDT 2009","NO_QUERY","a_mariepyt","Damm back to school tomorrow ","Damm back to school tomorrow ","Damm back to school tomorrow "," Damm back school"
"68",0,1467824967,"Mon Apr 06 22:23:28 PDT 2009","NO_QUERY","playboybacon","Mo jobs, no money.  how in the hell is min wage here 4 f'n clams an hour?","Mo jobs no money  how in the hell is min wage here 4 f'n clams an hour","Mo jobs no money  how in the hell is min wage here 4 f n clams an hour"," Mo jobs no money hell is min wage clams hour"
"69",0,1467825003,"Mon Apr 06 22:23:28 PDT 2009","NO_QUERY","leslierosales","@katortiz  Not forever... See you soon!","katortiz  Not forever See you soon","katortiz  Not forever See you soon"," katortiz See"
"70",0,1467825084,"Mon Apr 06 22:23:30 PDT 2009","NO_QUERY","PresidentSnow","@Lt_Algonquin agreed, I saw the failwhale allllll day today. ","LtAlgonquin agreed I saw the failwhale allllll day today ","LtAlgonquin agreed I saw the failwhale allllll day today "," LtAlgonquin agreed saw failwhale allllll day"
"71",0,1467825411,"Mon Apr 06 22:23:35 PDT 2009","NO_QUERY","michrod","@jdarter Oh! Haha... dude I dont really look at em unless someone says HEY I ADDED YOU. Sorry  I'm so terrible at that. I need a pop up!","jdarter Oh Haha dude I dont really look at em unless someone says HEY I ADDED YOU Sorry  I'm so terrible at that I need a pop up","jdarter Oh Haha dude I dont really look at em unless someone says HEY I ADDED YOU Sorry  I m so terrible at that I need a pop up"," jdarter dude dont look says ADDED Sorry m terrible need pop"
"72",0,1467825642,"Mon Apr 06 22:23:39 PDT 2009","NO_QUERY","timmelko","@ninjen I'm sure you're right...    I need to start working out with you and the Nikster... Or Jared at least!","ninjen I'm sure you're right    I need to start working out with you and the Nikster Or Jared at least","ninjen I m sure you re right    I need to start working out with you and the Nikster Or Jared at least"," ninjen m sure right need start working Nikster Jared"
"73",0,1467825863,"Mon Apr 06 22:23:43 PDT 2009","NO_QUERY","BrookeAmanda","i really hate how people diss my bands!  Trace is clearly NOT ugly!","i really hate how people diss my bands  Trace is clearly NOT ugly","i really hate how people diss my bands  Trace is clearly NOT ugly"," hate people diss bands Trace is ugly"
"74",0,1467825883,"Mon Apr 06 22:23:43 PDT 2009","NO_QUERY","deelau","Gym attire today was: Puma singlet, Adidas shorts.......and black business socks and leather shoes  Lucky did not run into any cute girls.","Gym attire today was Puma singlet Adidas shortsand black business socks and leather shoes  Lucky did not run into any cute girls","Gym attire today was Puma singlet Adidas shortsand black business socks and leather shoes  Lucky did not run into any cute girls"," Gym attire was Puma singlet Adidas shortsand black business socks leather shoes Lucky did run cute girls"
"75",0,1467826052,"Mon Apr 06 22:23:45 PDT 2009","NO_QUERY","paulseverio","Why won't you show my location?!   http://twitpic.com/2y2es","Why won't you show my location   http//twitpiccom/2y2es","Why won t you show my location   http  twitpiccom 2y2es"," won show location http twitpiccom 2y2es"
"76",0,1467833672,"Mon Apr 06 22:25:44 PDT 2009","NO_QUERY","iv3tte","No picnic  my phone smells like citrus.","No picnic  my phone smells like citrus","No picnic  my phone smells like citrus"," No picnic phone smells like citrus"
"77",0,1467833690,"Mon Apr 06 22:25:44 PDT 2009","NO_QUERY","fedunska","@ashleyac My donkey is sensitive about such comments. Nevertheless, he'd (and me'd) be glad to see your mug asap. Charger is still awol. ","ashleyac My donkey is sensitive about such comments Nevertheless he'd and me'd be glad to see your mug asap Charger is still awol ","ashleyac My donkey is sensitive about such comments Nevertheless he d and me d be glad to see your mug asap Charger is still awol "," ashleyac donkey is sensitive comments be glad see mug asap Charger is still awol"
"78",0,1467833736,"Mon Apr 06 22:25:45 PDT 2009","NO_QUERY","MagicalMason","No new csi tonight.  FML","No new csi tonight  FML","No new csi tonight  FML"," No new csi FML"
"79",0,1467833799,"Mon Apr 06 22:25:46 PDT 2009","NO_QUERY","kaelaaa","i think my arms are sore from tennis ","i think my arms are sore from tennis ","i think my arms are sore from tennis "," think arms are sore tennis"
"80",0,1467834001,"Mon Apr 06 22:25:49 PDT 2009","NO_QUERY","emo_holic","wonders why someone that u like so much can make you so unhappy in a split seccond . depressed . ","wonders why someone that u like so much can make you so unhappy in a split seccond  depressed  ","wonders why someone that u like so much can make you so unhappy in a split seccond  depressed  "," wonders like make unhappy split seccond depressed"
"81",0,1467834053,"Mon Apr 06 22:25:52 PDT 2009","NO_QUERY","thelazyboy","sleep soon... i just hate saying bye and see you tomorrow for the night. ","sleep soon i just hate saying bye and see you tomorrow for the night ","sleep soon i just hate saying bye and see you tomorrow for the night "," sleep just hate saying bye see night"
"82",0,1467834227,"Mon Apr 06 22:25:53 PDT 2009","NO_QUERY","driveaway2008","@statravelAU just got ur newsletter, those fares really are unbelievable, shame I already booked and paid for mine ","statravelAU just got ur newsletter those fares really are unbelievable shame I already booked and paid for mine ","statravelAU just got ur newsletter those fares really are unbelievable shame I already booked and paid for mine "," statravelAU just got ur newsletter fares are unbelievable shame booked paid mine"
"83",0,1467834239,"Mon Apr 06 22:25:53 PDT 2009","NO_QUERY","mscha","missin' the boo ","missin' the boo ","missin  the boo "," missin boo"
"84",0,1467834265,"Mon Apr 06 22:25:54 PDT 2009","NO_QUERY","mike_webster_au","@markhardy1974 Me too  #itm","markhardy1974 Me too  itm","markhardy1974 Me too  itm"," markhardy1974 itm"
"85",0,1467834284,"Mon Apr 06 22:25:54 PDT 2009","NO_QUERY","basiabeans","Damn... I don't have any chalk! MY CHALKBOARD IS USELESS ","Damn I don't have any chalk MY CHALKBOARD IS USELESS ","Damn I don t have any chalk MY CHALKBOARD IS USELESS "," Damn don have chalk CHALKBOARD IS USELESS"
"86",0,1467834400,"Mon Apr 06 22:25:56 PDT 2009","NO_QUERY","calihonda2001","had a blast at the Getty Villa, but hates that she's had a sore throat all day. It's just getting worse too ","had a blast at the Getty Villa but hates that she's had a sore throat all day It's just getting worse too ","had a blast at the Getty Villa but hates that she s had a sore throat all day It s just getting worse too "," had blast Getty Villa hates s had sore throat day s just getting"
"87",0,1467834817,"Mon Apr 06 22:26:02 PDT 2009","NO_QUERY","djwayneski","@msdrama hey missed ya at the meeting  sup mama","msdrama hey missed ya at the meeting  sup mama","msdrama hey missed ya at the meeting  sup mama"," msdrama missed meeting sup mama"
"88",0,1467835085,"Mon Apr 06 22:26:06 PDT 2009","NO_QUERY","Ceejison","My tummy hurts.  I wonder if the hypnosis has anything to do with it? If so, it's working, I get it, STOP SMOKING!!!","My tummy hurts  I wonder if the hypnosis has anything to do with it If so it's working I get it STOP SMOKING","My tummy hurts  I wonder if the hypnosis has anything to do with it If so it s working I get it STOP SMOKING"," tummy hurts wonder hypnosis has do s working get STOP SMOKING"
"89",0,1467835198,"Mon Apr 06 22:26:08 PDT 2009","NO_QUERY","ItsBrigittaYo","why is it always the fat ones?! ","why is it always the fat ones ","why is it always the fat ones "," is fat ones"
