"","X","V1","V2","V3","V4","V5","V6","V6_clean1","V6_clean2","V6_clean3"
"2644",2644,0,1468420555,"Tue Apr 07 01:33:42 PDT 2009","NO_QUERY","gavlp","@duskyazure least U got 2 lie in - I 've bn up way 2 long!! Mrs woke up at 6am this morning &amp; dragd me out of slumberlnd @ the same time ","duskyazure least U got 2 lie in  I 've bn up way 2 long Mrs woke up at 6am this morning amp dragd me out of slumberlnd  the same time ","duskyazure least U got 2 lie in  I  ve bn up way 2 long Mrs woke up at 6am this morning amp dragd me out of slumberlnd  the same time "," duskyazure U got lie ve bn way long Mrs woke morning amp dragd slumberlnd time"
"3037",3037,0,1468503341,"Tue Apr 07 02:04:08 PDT 2009","NO_QUERY","michelle_andrea","@livinginfiction outdoors man..can't get to the gym this week, no time no time  dinner soon babe! early next week? or brunch sunday.","livinginfiction outdoors mancan't get to the gym this week no time no time  dinner soon babe early next week or brunch sunday","livinginfiction outdoors mancan t get to the gym this week no time no time  dinner soon babe early next week or brunch sunday"," livinginfiction outdoors mancan get gym week no time no time dinner babe early week brunch sunday"
"5057",5057,4,1467824606,"Mon Apr 06 22:23:22 PDT 2009","NO_QUERY","SeanDB1","Morning Tweetland, a long day ahead! Hope everyone has a great day  ","Morning Tweetland a long day ahead Hope everyone has a great day  ","Morning Tweetland a long day ahead Hope everyone has a great day  "," Morning Tweetland long day Hope has great day"
"1805",1805,0,1468237661,"Tue Apr 07 00:28:25 PDT 2009","NO_QUERY","on3nightstan","oh wtf @ house. NOT COOL. ","oh wtf  house NOT COOL ","oh wtf  house NOT COOL "," wtf house COOL"
"7571",7571,4,1468253041,"Tue Apr 07 00:33:38 PDT 2009","NO_QUERY","jessnextdoor","@ninaneverknew i'll be there as well! maybe tomorrow ","ninaneverknew i'll be there as well maybe tomorrow ","ninaneverknew i ll be there as well maybe tomorrow "," ninaneverknew ll be well"
"2006",2006,0,1468282395,"Tue Apr 07 00:43:53 PDT 2009","NO_QUERY","its_julia","I have a cold  buee","I have a cold  buee","I have a cold  buee"," have cold buee"
"2579",2579,0,1468405683,"Tue Apr 07 01:28:12 PDT 2009","NO_QUERY","Bartemans","@robertzalme Yes I do... Too much theory getting in, not much solutions coming out... ","robertzalme Yes I do Too much theory getting in not much solutions coming out ","robertzalme Yes I do Too much theory getting in not much solutions coming out "," robertzalme do theory getting solutions coming"
"9884",9884,4,1468584738,"Tue Apr 07 02:33:39 PDT 2009","NO_QUERY","silent_dream","SARAH!  told you I'd figure one out ","SARAH  told you I'd figure one out ","SARAH  told you I d figure one out "," SARAH told figure"
"8043",8043,4,1468323008,"Tue Apr 07 00:58:24 PDT 2009","NO_QUERY","Caldeia","@saulashby you're welcome ","saulashby you're welcome ","saulashby you re welcome "," welcome"
"5512",5512,4,1467917662,"Mon Apr 06 22:48:16 PDT 2009","NO_QUERY","tataencu","@esotericsean heh, thanks for advertising my skills ","esotericsean heh thanks for advertising my skills ","esotericsean heh thanks for advertising my skills "," esotericsean thanks advertising skills"
"6438",6438,4,1468072529,"Mon Apr 06 23:33:55 PDT 2009","NO_QUERY","filousen","in France tmrw ","in France tmrw ","in France tmrw "," France tmrw"
"3106",3106,0,1468518601,"Tue Apr 07 02:09:46 PDT 2009","NO_QUERY","fafs","@mistystilletto if it had happened to anyone else i would have peed myself laughing. I scraped my leg ","mistystilletto if it had happened to anyone else i would have peed myself laughing I scraped my leg ","mistystilletto if it had happened to anyone else i would have peed myself laughing I scraped my leg "," mistystilletto had happened have peed laughing scraped leg"
"6192",6192,4,1468037405,"Mon Apr 06 23:23:03 PDT 2009","NO_QUERY","eCoastShredgirl","yay!!! hcc then sand key &amp; surfing. Big waves!! ","yay hcc then sand key amp surfing Big waves ","yay hcc then sand key amp surfing Big waves "," hcc then sand key amp surfing Big waves"
"3284",3284,0,1468561884,"Tue Apr 07 02:25:38 PDT 2009","NO_QUERY","Laura6476","@LeahEarnshaw awww I'm sorry ","LeahEarnshaw awww I'm sorry ","LeahEarnshaw awww I m sorry "," LeahEarnshaw awww m sorry"
"4998",4998,0,1468963184,"Tue Apr 07 04:36:43 PDT 2009","NO_QUERY","JoanneDuran","@gjarnling I am fine thanks - tired ","gjarnling I am fine thanks  tired ","gjarnling I am fine thanks  tired "," gjarnling am fine thanks tired"
"6740",6740,4,1468129254,"Mon Apr 06 23:52:30 PDT 2009","NO_QUERY","Deborahmei","@acmaster27 haha yes, it would be cool, but i'm pretty sure my cookies don't know anything about political bias in cable news... ","acmaster27 haha yes it would be cool but i'm pretty sure my cookies don't know anything about political bias in cable news ","acmaster27 haha yes it would be cool but i m pretty sure my cookies don t know anything about political bias in cable news "," haha be cool m pretty sure cookies don know political bias cable news"
"4828",4828,0,1468918031,"Tue Apr 07 04:24:01 PDT 2009","NO_QUERY","Dominiquegary","At the school for the disttict track meet. I don't wanna go ","At the school for the disttict track meet I don't wanna go ","At the school for the disttict track meet I don t wanna go "," school disttict track meet don wanna go"
"2428",2428,0,1468376220,"Tue Apr 07 01:17:29 PDT 2009","NO_QUERY","CSSVT","@_Cube_  creepin me out dude. May have to cancel my trip to sydney now.....  LOL","Cube  creepin me out dude May have to cancel my trip to sydney now  LOL","Cube  creepin me out dude May have to cancel my trip to sydney now  LOL"," Cube creepin dude May have cancel trip sydney LOL"
"7618",7618,4,1468265434,"Tue Apr 07 00:37:57 PDT 2009","NO_QUERY","johubris","@wandaharland i will continue to smuggle whole crates in my bra then! ","wandaharland i will continue to smuggle whole crates in my bra then ","wandaharland i will continue to smuggle whole crates in my bra then "," wandaharland will continue smuggle whole crates bra then"
"735",735,0,1467994419,"Mon Apr 06 23:10:05 PDT 2009","NO_QUERY","caityisawinner","@PlayRadioPlay that was so sad and unexpected.  i totally cried haha.","PlayRadioPlay that was so sad and unexpected  i totally cried haha","PlayRadioPlay that was so sad and unexpected  i totally cried haha"," PlayRadioPlay was sad unexpected cried haha"
"3082",3082,0,1468513298,"Tue Apr 07 02:07:49 PDT 2009","NO_QUERY","CharlieSolace","Watching RealKidPoker (Daniel Negreanu) lose $160,000 in four hours real time via twitter. He's losing it ","Watching RealKidPoker Daniel Negreanu lose 160000 in four hours real time via twitter He's losing it ","Watching RealKidPoker Daniel Negreanu lose 160000 in four hours real time via twitter He s losing it "," Watching RealKidPoker Daniel Negreanu lose hours real time twitter s losing"
"7136",7136,4,1468191705,"Tue Apr 07 00:12:45 PDT 2009","NO_QUERY","claytonpage","Was a &quot;ranger&quot; for a day, sporting red hair in support of my sports day team, who came 2nd. Heading to the pub for teacher's EOT dinner ","Was a quotrangerquot for a day sporting red hair in support of my sports day team who came 2nd Heading to the pub for teacher's EOT dinner ","Was a quotrangerquot for a day sporting red hair in support of my sports day team who came 2nd Heading to the pub for teacher s EOT dinner "," Was quotrangerquot day sporting red hair support sports day team came Heading pub teacher s EOT dinner"
"5019",5019,4,1467822936,"Mon Apr 06 22:22:57 PDT 2009","NO_QUERY","adamjackson","Catching Up on Emails, RSS and Random BACN. Then I'm cutting out early tonight (11:30PM) to have Dinner with @lauraw ","Catching Up on Emails RSS and Random BACN Then I'm cutting out early tonight 1130PM to have Dinner with lauraw ","Catching Up on Emails RSS and Random BACN Then I m cutting out early tonight 1130PM to have Dinner with lauraw "," Catching Emails RSS Random BACN m cutting early have Dinner lauraw"
"1522",1522,0,1468171681,"Tue Apr 07 00:06:17 PDT 2009","NO_QUERY","smewch","@SpazMoraz get up lady! See you in work ... Boohoo ","SpazMoraz get up lady See you in work  Boohoo ","SpazMoraz get up lady See you in work  Boohoo "," SpazMoraz get lady See work Boohoo"
"5012",5012,4,1467822531,"Mon Apr 06 22:22:49 PDT 2009","NO_QUERY","Hollywood_Trey","@naughtyhaughty HOW DID I FORGET ABOUT TWO AND A HALF MEN?!?!? I LOVE THAT SHOW!!! ","naughtyhaughty HOW DID I FORGET ABOUT TWO AND A HALF MEN I LOVE THAT SHOW ","naughtyhaughty HOW DID I FORGET ABOUT TWO AND A HALF MEN I LOVE THAT SHOW "," naughtyhaughty DID FORGET A MEN LOVE SHOW"
"4912",4912,0,1468938140,"Tue Apr 07 04:29:41 PDT 2009","NO_QUERY","puiyin89","is not at all excited about packing (all over again) and putting up at someone else's place. ","is not at all excited about packing all over again and putting up at someone else's place ","is not at all excited about packing all over again and putting up at someone else s place "," is excited packing putting s place"
"7470",7470,4,1468237985,"Tue Apr 07 00:28:32 PDT 2009","NO_QUERY","BritMusicGirl","@nick_carter check it out  http://www.bored.com/pranksite/index.htm","nickcarter check it out  http//wwwboredcom/pranksite/indexhtm","nickcarter check it out  http  wwwboredcom pranksite indexhtm"," nickcarter check http wwwboredcom pranksite indexhtm"
"1737",1737,0,1468220615,"Tue Apr 07 00:22:31 PDT 2009","NO_QUERY","momokitty","back from the casino a big fat loser! ","back from the casino a big fat loser ","back from the casino a big fat loser "," back casino big fat loser"
"8434",8434,4,1468379700,"Tue Apr 07 01:18:46 PDT 2009","NO_QUERY","davidtab","@fizz How come it took you so long to tweet that? ","fizz How come it took you so long to tweet that ","fizz How come it took you so long to tweet that "," fizz come took long tweet"
"8597",8597,4,1468405714,"Tue Apr 07 01:28:13 PDT 2009","NO_QUERY","WhoisJohnLai","@Mauigina no probs, i am glad you appreciate the content that i am providing  it means alot","Mauigina no probs i am glad you appreciate the content that i am providing  it means alot","Mauigina no probs i am glad you appreciate the content that i am providing  it means alot"," Mauigina no probs am glad appreciate content am providing means alot"
"417",417,0,1467917177,"Mon Apr 06 22:48:08 PDT 2009","NO_QUERY","nchokkan","@KishoreK this is strange, illegal torrents avlbl everywhere, legal DVD not in stock  What do I do now???","KishoreK this is strange illegal torrents avlbl everywhere legal DVD not in stock  What do I do now","KishoreK this is strange illegal torrents avlbl everywhere legal DVD not in stock  What do I do now"," KishoreK is strange illegal torrents avlbl legal DVD stock do do"
"3153",3153,0,1468528946,"Tue Apr 07 02:13:30 PDT 2009","NO_QUERY","BenWay08","Best birthday ever. Untill the house sold. ","Best birthday ever Untill the house sold ","Best birthday ever Untill the house sold "," Best birthday Untill house sold"
"137",137,0,1467842568,"Mon Apr 06 22:28:07 PDT 2009","NO_QUERY","josiahmcdermott","i miss kenny powers ","i miss kenny powers ","i miss kenny powers "," miss kenny powers"
"2375",2375,0,1468363625,"Tue Apr 07 01:12:54 PDT 2009","NO_QUERY","lachlanhurst","Nothing beats the cold, damp feeling you get when pulling on a wet pair of knicks ","Nothing beats the cold damp feeling you get when pulling on a wet pair of knicks ","Nothing beats the cold damp feeling you get when pulling on a wet pair of knicks "," beats cold damp feeling get pulling wet pair knicks"
"7020",7020,4,1468164288,"Tue Apr 07 00:03:58 PDT 2009","NO_QUERY","loverkk","Finished my book-onto #4 now ","Finished my bookonto 4 now ","Finished my bookonto 4 now "," Finished bookonto"
"3061",3061,0,1468508523,"Tue Apr 07 02:06:03 PDT 2009","NO_QUERY","pogzie","just violated the tuners rule.. dont buy non-performance parts. sorry.  ima buy the air filters next time..","just violated the tuners rule dont buy nonperformance parts sorry  ima buy the air filters next time","just violated the tuners rule dont buy nonperformance parts sorry  ima buy the air filters next time"," just violated tuners rule dont buy nonperformance parts sorry ima buy air filters time"
"5052",5052,4,1467824495,"Mon Apr 06 22:23:20 PDT 2009","NO_QUERY","EmCDL","Just tryna get inspired thats all ","Just tryna get inspired thats all ","Just tryna get inspired thats all "," tryna get inspired thats"
"513",513,0,1467943526,"Mon Apr 06 22:55:40 PDT 2009","NO_QUERY","javajive","@pratama Same iMac came out $320 more in Indonesia than the States. ","pratama Same iMac came out 320 more in Indonesia than the States ","pratama Same iMac came out 320 more in Indonesia than the States "," pratama iMac came Indonesia States"
"5607",5607,4,1467935173,"Mon Apr 06 22:53:15 PDT 2009","NO_QUERY","maryamdsesth","class surprised me with a bday cake in Lit class. best bday surprise in a LOOOOOONNNNG while ","class surprised me with a bday cake in Lit class best bday surprise in a LOOOOOONNNNG while ","class surprised me with a bday cake in Lit class best bday surprise in a LOOOOOONNNNG while "," class surprised bday cake Lit class bday surprise LOOOOOONNNNG while"
"1207",1207,0,1468107473,"Mon Apr 06 23:45:16 PDT 2009","NO_QUERY","iwantyourjeep","WHAT THE FUCK YOUKU  I WANT TO WATCH SKINS.","WHAT THE FUCK YOUKU  I WANT TO WATCH SKINS","WHAT THE FUCK YOUKU  I WANT TO WATCH SKINS"," FUCK YOUKU WANT WATCH SKINS"
"8865",8865,4,1468435745,"Tue Apr 07 01:39:17 PDT 2009","NO_QUERY","Joanmarie","That sounds rather tragic. But good night all the same. ","That sounds rather tragic But good night all the same ","That sounds rather tragic But good night all the same "," sounds tragic good night"
"146",146,0,1467843647,"Mon Apr 06 22:28:24 PDT 2009","NO_QUERY","treehugger25","@twista202 I still haven't read the 9th&amp;10th Princess diaries  Saving Francesca made me cry at the end. Hmm those are easy books.","twista202 I still haven't read the 9thamp10th Princess diaries  Saving Francesca made me cry at the end Hmm those are easy books","twista202 I still haven t read the 9thamp10th Princess diaries  Saving Francesca made me cry at the end Hmm those are easy books"," twista202 still haven read 9thamp10th Princess diaries Saving Francesca made cry end are easy books"
"7775",7775,4,1468281930,"Tue Apr 07 00:43:43 PDT 2009","NO_QUERY","makeupbylinvia","@sian_the_mouse ","sianthemouse ","sianthemouse "," sianthemouse"
"893",893,0,1468033322,"Mon Apr 06 23:21:45 PDT 2009","NO_QUERY","nubblecakes","Too much internet. How it plagues me ","Too much internet How it plagues me ","Too much internet How it plagues me "," internet plagues"
"5153",5153,4,1467843308,"Mon Apr 06 22:28:19 PDT 2009","NO_QUERY","itsbushrax","back from school, long walk! its flippin cold outside  2 days ago it was sunny, next day raining, and today snowing!","back from school long walk its flippin cold outside  2 days ago it was sunny next day raining and today snowing","back from school long walk its flippin cold outside  2 days ago it was sunny next day raining and today snowing"," back school long walk flippin cold outside days was sunny day raining snowing"
"3814",3814,0,1468681347,"Tue Apr 07 03:08:03 PDT 2009","NO_QUERY","PurpleCloudz","@whykay It's lashing down here. ","whykay It's lashing down here ","whykay It s lashing down here "," whykay s lashing"
"696",696,0,1467985259,"Mon Apr 06 23:07:25 PDT 2009","NO_QUERY","ikimb0","MY TWEETS ARENT GOING THROUGH ","MY TWEETS ARENT GOING THROUGH ","MY TWEETS ARENT GOING THROUGH "," TWEETS ARENT GOING"
"3182",3182,0,1468539091,"Tue Apr 07 02:17:16 PDT 2009","NO_QUERY","mymaneesh","I'm in a confused state whether to implement a tab interface in the application currently i'm working in. ","I'm in a confused state whether to implement a tab interface in the application currently i'm working in ","I m in a confused state whether to implement a tab interface in the application currently i m working in "," m confused state implement tab interface application m working"
"6633",6633,4,1468103546,"Mon Apr 06 23:43:57 PDT 2009","NO_QUERY","Scheopner","@micresendo3000 I suck at math but I understand sex really well -- this is the sort of mental image that is useful ","micresendo3000 I suck at math but I understand sex really well  this is the sort of mental image that is useful ","micresendo3000 I suck at math but I understand sex really well  this is the sort of mental image that is useful "," micresendo3000 suck math understand sex well is sort mental image is useful"
"9190",9190,4,1468486432,"Tue Apr 07 01:58:14 PDT 2009","NO_QUERY","the8333696","Please please please friends of Govanhill Baths, let me in to your empty swimming pool to take photos ","Please please please friends of Govanhill Baths let me in to your empty swimming pool to take photos ","Please please please friends of Govanhill Baths let me in to your empty swimming pool to take photos "," friends Govanhill Baths let empty swimming pool take photos"
"4681",4681,0,1468879342,"Tue Apr 07 04:12:30 PDT 2009","NO_QUERY","UnboundUrchin","@mmauran ahh, i don't know! i'm not escaping, but really, i dn't know.  for me, its an undefinable thingie... dsn't hv to hv a definition","mmauran ahh i don't know i'm not escaping but really i dn't know  for me its an undefinable thingie dsn't hv to hv a definition","mmauran ahh i don t know i m not escaping but really i dn t know  for me its an undefinable thingie dsn t hv to hv a definition"," mmauran don know m escaping dn know undefinable thingie dsn hv hv definition"
"1415",1415,0,1468147673,"Mon Apr 06 23:58:44 PDT 2009","NO_QUERY","Super_Manz","Why oh why do I watch videos of people dying RIGHT BEFORE I'm going to sleep? ","Why oh why do I watch videos of people dying RIGHT BEFORE I'm going to sleep ","Why oh why do I watch videos of people dying RIGHT BEFORE I m going to sleep "," do watch videos people dying m going sleep"
"5398",5398,4,1467898386,"Mon Apr 06 22:42:57 PDT 2009","NO_QUERY","Dezuray","@dfizzy Hey There ! How are you today? ","dfizzy Hey There  How are you today ","dfizzy Hey There  How are you today "," dfizzy are"
"1946",1946,0,1468268530,"Tue Apr 07 00:39:01 PDT 2009","NO_QUERY","symee","Even with the best intentions i'm late for work again ","Even with the best intentions i'm late for work again ","Even with the best intentions i m late for work again "," intentions m late work"
"8910",8910,4,1468447108,"Tue Apr 07 01:43:31 PDT 2009","NO_QUERY","SarahSaner","@Lesley_M If only you werent on the other side of the Ocean Hmmm I am looking for a job!  x","LesleyM If only you werent on the other side of the Ocean Hmmm I am looking for a job  x","LesleyM If only you werent on the other side of the Ocean Hmmm I am looking for a job  x"," LesleyM only werent other side Ocean Hmmm am looking job"
"3862",3862,0,1468690477,"Tue Apr 07 03:11:17 PDT 2009","NO_QUERY","jolyon_russ","ARGH!!! iggy pop swift cover add on #spotify way to kill the mood ","ARGH iggy pop swift cover add on spotify way to kill the mood ","ARGH iggy pop swift cover add on spotify way to kill the mood "," ARGH iggy pop swift cover add spotify way kill mood"
"9949",9949,4,1468597825,"Tue Apr 07 02:38:22 PDT 2009","NO_QUERY","mmmacy","And all I want to do in life is eat lollipops and Twitter. ","And all I want to do in life is eat lollipops and Twitter ","And all I want to do in life is eat lollipops and Twitter "," want do life is eat lollipops Twitter"
"9978",9978,4,1468598970,"Tue Apr 07 02:38:47 PDT 2009","NO_QUERY","michaelmknight","@abcdefglynis Welcome home ","abcdefglynis Welcome home ","abcdefglynis Welcome home "," abcdefglynis Welcome home"
